launch_angle,exit_velocity,hit_distance_sc,spray_angle,game_type,is_hit
75.0,88.6,73.0,-24.244234100233992,RS,0
62.0,60.1,113.0,13.819742878020902,RS,0
3.0,85.0,61.0,-22.435653694254363,RS,0
24.0,96.7,339.0,15.566203986611011,RS,0
13.0,92.6,173.0,31.898093238177143,RS,1
2.0,89.3,62.0,-14.698586982680748,RS,0
20.0,99.5,334.0,25.565906034666554,RS,0
-5.0,86.5,24.0,-29.78878843091651,RS,0
71.0,79.1,162.0,28.374641347080303,RS,0
0.0,86.8,48.0,30.66967446648235,RS,1
26.0,75.2,253.0,11.057454357688304,RS,1
10.0,71.2,108.0,16.40079456812136,RS,0
-6.0,94.7,16.0,-1.769584763543234,RS,0
23.0,105.5,390.0,-3.598608750420892,RS,0
17.0,87.1,228.0,27.574605471748058,RS,1
37.0,79.3,278.0,-9.328609088084512,RS,0
7.0,106.2,137.0,-21.380791787865213,RS,1
-9.0,106.0,16.0,-10.84056146886332,RS,0
-15.0,105.3,5.0,32.059935766623525,RS,0
21.0,96.6,301.0,-20.40557939502976,RS,0
-76.0,48.3,1.0,28.789904638263916,RS,0
14.0,103.5,244.0,-18.151399850384045,RS,1
-48.0,76.7,1.0,35.46630502334125,RS,0
-6.0,57.2,18.0,1.207528421036435,RS,0
27.0,107.1,426.0,-20.577751737674745,RS,1
4.0,101.5,103.0,0.31187429641643744,RS,1
14.0,103.5,271.0,15.10496687879767,RS,1
-9.0,100.4,19.0,34.13126271076639,RS,1
55.0,89.8,216.0,-14.871054564956832,RS,0
81.0,83.4,19.0,14.540463295451472,RS,0
10.0,109.2,231.0,9.456224444353289,RS,1
-46.0,53.0,2.0,-36.95754781474699,RS,0
55.0,72.4,178.0,18.268857388924477,RS,0
55.0,91.7,238.0,-3.9012034579259076,RS,0
11.0,111.9,234.0,-24.47379303312899,RS,1
-7.0,95.7,16.0,-7.03660337796914,RS,0
23.0,100.5,364.0,-13.494768265397632,RS,1
12.0,83.0,139.0,35.03799173069039,RS,0
-59.0,72.4,2.0,-5.252694065292854,RS,0
35.0,96.4,354.0,-4.205973890804687,RS,0
1.0,101.4,60.0,-6.659915817114287,RS,1
-13.0,98.2,8.0,-16.056620148946678,RS,0
7.0,106.3,224.0,-0.9902910477842639,RS,1
48.0,100.4,299.0,27.61626956634249,RS,0
-14.0,72.6,12.0,-28.64729047764259,RS,0
42.0,82.1,259.0,15.732649679068116,RS,0
8.0,109.2,159.0,-22.829385482469895,RS,1
15.0,86.8,197.0,19.017487207828687,RS,1
24.0,97.1,370.0,-11.155713277738958,RS,1
36.0,98.8,337.0,-17.072465673494413,RS,0
66.0,86.7,141.0,2.8549250540135893,RS,0
18.0,99.5,285.0,-29.460164727684585,RS,1
21.0,86.2,279.0,-3.396789578260348,RS,1
-52.0,71.8,2.0,25.394583378704112,RS,0
19.0,90.9,265.0,26.011425567398746,RS,1
35.0,87.1,320.0,12.603851624654908,RS,0
4.0,93.6,98.0,-21.035309319345433,RS,1
-3.0,96.5,25.0,31.60251330502761,RS,0
46.0,91.9,273.0,27.620355276819538,RS,0
-17.0,98.1,5.0,-9.0416842451214,RS,0
14.0,114.7,414.0,-5.696490878358641,RS,1
-22.0,101.8,5.0,9.242787786045996,RS,1
16.0,93.4,238.0,13.926068528004272,RS,1
9.0,81.3,125.0,-1.2019114095299703,RS,1
81.0,86.5,29.0,60.945955439280006,RS,0
-6.0,103.6,19.0,32.739293071142185,RS,0
26.0,105.3,414.0,-20.954923671267046,RS,1
13.0,88.7,160.0,-24.653127384398573,RS,1
46.0,101.6,318.0,1.927212143697162,RS,0
72.0,86.0,95.0,22.183379010945984,RS,0
0.0,112.1,51.0,-10.899039102947889,RS,0
78.0,74.0,72.0,-64.34358241635749,RS,0
31.0,85.5,292.0,24.461592912568314,RS,0
-7.0,80.7,12.0,18.620491877219283,RS,0
43.0,93.4,304.0,-26.32358074203033,RS,0
-1.0,104.7,39.0,22.813481019787012,RS,0
-34.0,87.4,3.0,27.139086357315442,RS,0
17.0,73.0,181.0,0.4284672927870933,RS,1
23.0,103.6,370.0,30.108179808314645,RS,1
-36.0,63.6,3.0,-27.707374399615084,RS,0
-35.0,83.8,4.0,-12.247164189945515,RS,0
61.0,95.8,196.0,-10.821645689018242,RS,0
17.0,89.3,273.0,11.586288334644683,RS,1
2.0,106.0,72.0,25.649694819125337,RS,1
32.0,64.9,215.0,8.869331573191229,RS,1
9.0,98.0,193.0,-14.517935004285416,RS,0
17.0,67.3,151.0,-29.940630674915667,RS,1
21.0,102.0,278.0,33.60807681819349,RS,1
72.0,82.6,86.0,21.460314537081654,RS,0
-14.0,99.9,11.0,-28.08723752844557,RS,0
36.0,102.3,367.0,2.5535864489950835,RS,0
-6.0,71.9,13.0,-19.04456839968518,RS,0
29.0,101.6,417.0,3.4083928542178517,RS,1
12.0,115.8,344.0,-23.43257950515032,RS,1
9.0,96.2,171.0,17.73929737444345,RS,1
-8.0,105.1,15.0,-5.760841997840285,RS,1
58.0,87.1,198.0,36.12532965542594,RS,0
-11.0,93.4,10.0,26.721265336644834,RS,0
-13.0,84.8,11.0,-20.763809047974558,RS,0
-44.0,66.9,2.0,10.572597249631276,RS,0
37.0,101.6,369.0,-27.28227879063577,RS,0
51.0,86.8,263.0,4.98217436172135,RS,0
15.0,84.6,243.0,-0.8772522322957735,RS,1
27.0,88.3,316.0,-19.36264831879849,RS,0
4.0,97.8,98.0,16.876519949285672,RS,1
